timeseries/data_date,timeseries/unix_timestamp,timeseries/individuals
2022-08-27,1661558400,3722
2022-08-28,1661644800,2948
2022-08-29,1661731200,2987
2022-08-30,1661817600,3259
2022-08-31,1661904000,3248
2022-09-01,1661990400,2449
2022-09-02,1662076800,3202
2022-09-03,1662163200,3946
2022-09-04,1662249600,3394
2022-09-05,1662336000,2649
2022-09-06,1662422400,2576
2022-09-07,1662508800,3046
2022-09-08,1662595200,2750
2022-09-09,1662681600,2872
2022-09-10,1662768000,3375
2022-09-11,1662854400,3138
2022-09-12,1662940800,2424
2022-09-13,1663027200,2879
2022-09-14,1663113600,2933
2022-09-15,1663200000,2528
2022-09-16,1663286400,3127
2022-09-17,1663372800,3383
2022-09-18,1663459200,3086
2022-09-19,1663545600,2265
2022-09-20,1663632000,2575
2022-09-21,1663718400,2345
2022-09-22,1663804800,2585
2022-09-23,1663891200,3018
2022-09-24,1663977600,3660
2022-09-25,1664064000,2951
2022-09-26,1664150400,2138
2022-09-27,1664236800,2421
2022-09-28,1664323200,2949
2022-09-29,1664409600,2876
2022-09-30,1664496000,3208
2022-10-01,1664582400,3156
2022-10-02,1664668800,2864
2022-10-03,1664755200,1976
2022-10-04,1664841600,1993
2022-10-05,1664928000,1995
2022-10-06,1665014400,2052
2022-10-07,1665100800,2627
2022-10-08,1665187200,2781
2022-10-09,1665273600,2326
2022-10-10,1665360000,1844
2022-10-11,1665446400,1850
2022-10-12,1665532800,1996
2022-10-13,1665619200,2210
2022-10-14,1665705600,2460
2022-10-15,1665792000,2761
2022-10-16,1665878400,2421
2022-10-17,1665964800,1637
2022-10-18,1666051200,1809
2022-10-19,1666137600,2211
2022-10-20,1666224000,2100
2022-10-21,1666310400,2700
2022-10-22,1666396800,2976
2022-10-23,1666483200,2699
2022-10-24,1666569600,1625
2022-10-25,1666656000,1922
2022-10-26,1666742400,2368
2022-10-27,1666828800,2064
2022-10-28,1666915200,2743
2022-10-29,1667001600,3237
2022-10-30,1667088000,2584
2022-10-31,1667174400,1987
2022-11-01,1667260800,2367
2022-11-02,1667347200,2944
2022-11-03,1667433600,2420
2022-11-04,1667520000,2818
2022-11-05,1667606400,3006
2022-11-06,1667692800,2962
2022-11-07,1667779200,2065
2022-11-08,1667865600,2173
2022-11-09,1667952000,2571
2022-11-10,1668038400,2493
2022-11-11,1668124800,2616
2022-11-12,1668211200,2906
2022-11-13,1668297600,2435
2022-11-14,1668384000,2024
2022-11-15,1668470400,1929
2022-11-16,1668556800,2529
2022-11-17,1668643200,2335
2022-11-18,1668729600,2755
2022-11-19,1668816000,3081
2022-11-20,1668902400,2851
2022-11-21,1668988800,1992
2022-11-22,1669075200,2281
2022-11-23,1669161600,2349
2022-11-24,1669248000,2323
2022-11-25,1669334400,2697
2022-11-26,1669420800,2884
2022-11-27,1669507200,2518
2022-11-28,1669593600,1907
2022-11-29,1669680000,2079
2022-11-30,1669766400,2178
2022-12-01,1669852800,2454
2022-12-02,1669939200,2408
2022-12-03,1670025600,3173
2022-12-04,1670112000,2591
2022-12-05,1670198400,1876
2022-12-06,1670284800,1942
2022-12-07,1670371200,2123
2022-12-08,1670457600,2469
2022-12-09,1670544000,2421
2022-12-10,1670630400,3016
2022-12-11,1670716800,2396
2022-12-12,1670803200,1752
2022-12-13,1670889600,2003
2022-12-14,1670976000,2806
2022-12-15,1671062400,2739
2022-12-16,1671148800,2848
2022-12-17,1671235200,3514
2022-12-18,1671321600,3193
2022-12-19,1671408000,2270
2022-12-20,1671494400,3262
2022-12-21,1671580800,3856
2022-12-22,1671667200,3710
2022-12-23,1671753600,4116
2022-12-24,1671840000,3877
2022-12-25,1671926400,2468
2022-12-26,1672012800,2627
2022-12-27,1672099200,3135
2022-12-28,1672185600,4087
2022-12-29,1672272000,3999
2022-12-30,1672358400,3804
2022-12-31,1672444800,1887
2023-01-01,1672531200,1313
